survey_year,age,gender,race,ethnicity,language_home,citizenship_status,place_birth,immigrant_generation,trump_support,border_wall_support,immigration_level_concern,border_asylum_performance,presidential_performance,crime_priority,immigration_restrictionism_composite,party_identification,immigration_attitude,border_security_attitude,political_party,vote_intention,approval_rating
2015,67,2,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA
2015,57,2,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA
2015,50,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,4,NA,NA
2015,76,2,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,28,2,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA
2015,45,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3,NA,NA
2015,61,2,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3,NA,NA
2015,57,1,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3,NA,NA
2015,63,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA
2015,73,2,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA
2015,19,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA
2015,72,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA
2015,42,2,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA
2015,39,2,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA
2015,50,2,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3,NA,NA
2015,24,2,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3,NA,NA
2015,42,2,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3,NA,NA
2015,22,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA
2015,42,1,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3,NA,NA
2015,18,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA
2015,57,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA
2015,65,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA
2015,53,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA
2015,66,2,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA
2015,80,2,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA
2015,36,1,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA
2015,27,2,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA
2015,80,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA
2015,NA,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA
2015,28,1,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA
2015,32,1,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA
2015,40,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA
2015,34,2,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA
2015,45,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA
2015,53,2,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,62,1,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA
2015,33,2,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,4,NA,NA
2015,75,2,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA
2015,64,2,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA
2015,62,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA
2015,44,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,50,2,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3,NA,NA
2015,55,2,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA
2015,70,2,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA
2015,49,2,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA
2015,86,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA
2015,40,2,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3,NA,NA
2015,60,2,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA
2015,46,2,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA
2015,52,2,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA
2015,61,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA
2015,81,2,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA
2015,54,2,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3,NA,NA
2015,56,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,4,NA,NA
2015,50,2,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA
