gender,age,education,income,marital_status,employment,state,citizenship_status,place_birth,parent_nativity,immigrant_generation,immigration_levels_opinion,legalization_support,deportation_worry,political_party
1,33,3,23,1,1,NA,NA,2,2,1,1,NA,4,3
1,35,1,4,NA,2,NA,0,1,3,2,1,NA,3,2
0,35,1,12,1,2,NA,0,1,3,2,1,NA,2,2
1,35,1,3,NA,2,NA,0,1,3,2,3,NA,1,3
1,56,1,22,1,1,NA,NA,1,2,2,1,NA,2,2
0,35,1,22,1,1,NA,NA,1,1,3,1,NA,4,2
0,27,1,12,1,2,NA,0,1,3,2,3,NA,2,3
1,30,3,11,1,1,NA,0,1,3,2,1,NA,2,3
0,40,1,11,NA,1,NA,0,1,3,2,1,NA,1,3
0,30,1,24,1,1,NA,1,1,3,2,3,NA,4,2
1,47,1,5,5,1,NA,0,2,3,1,1,NA,1,2
1,29,1,5,1,1,NA,0,2,3,1,1,NA,4,1
1,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,NA,4,3
0,45,1,3,1,1,NA,1,2,3,1,1,NA,1,1
0,36,3,4,NA,2,NA,0,1,3,2,1,NA,2,NA
0,58,1,2,5,2,NA,1,1,3,2,3,NA,2,2
0,60,3,24,1,2,NA,NA,2,2,1,3,NA,3,2
1,33,1,22,4,1,NA,1,1,1,3,3,NA,1,2
1,34,1,21,1,1,NA,0,1,3,2,1,NA,1,3
1,28,1,12,NA,1,NA,NA,1,1,3,1,NA,4,3
0,28,3,11,NA,1,NA,NA,1,3,2,1,NA,2,3
0,70,1,NA,4,2,NA,NA,NA,1,NA,2,NA,4,2
1,54,1,4,NA,1,NA,NA,NA,1,NA,3,NA,4,1
0,33,4,25,1,1,NA,NA,2,1,1,3,NA,4,2
1,45,1,12,1,1,NA,1,2,3,1,3,NA,3,2
1,30,3,5,1,1,NA,0,2,3,1,3,NA,2,2
0,33,1,3,2,2,NA,0,2,3,1,1,NA,1,NA
1,38,1,5,1,1,NA,1,2,3,1,3,NA,2,NA
0,52,4,11,4,1,NA,NA,1,2,2,3,NA,4,2
0,49,NA,22,1,1,NA,NA,1,1,3,1,NA,4,2
0,70,1,2,3,2,NA,1,1,3,2,NA,NA,4,NA
1,32,1,14,1,1,NA,0,1,3,2,1,NA,1,2
0,26,1,6,2,2,NA,NA,2,1,1,1,NA,4,NA
1,30,1,NA,NA,2,NA,0,1,3,2,1,NA,4,3
0,33,4,11,4,1,NA,1,1,3,2,1,NA,1,1
0,21,1,6,1,1,NA,0,1,2,2,NA,NA,1,2
1,53,1,21,1,1,NA,0,1,3,2,1,NA,2,3
0,44,1,NA,1,2,NA,1,2,3,1,NA,NA,4,NA
1,41,3,14,1,1,NA,NA,1,3,2,1,NA,4,2
0,36,2,6,4,1,NA,0,1,3,2,1,NA,1,NA
1,36,1,3,NA,2,NA,NA,1,1,3,3,NA,3,3
0,42,1,27,1,1,NA,1,1,3,2,2,NA,1,NA
0,29,1,12,2,1,NA,NA,1,1,3,3,NA,1,1
0,39,1,12,1,1,NA,1,1,3,2,1,NA,2,3
0,72,3,NA,3,2,NA,1,1,3,2,NA,NA,2,1
0,37,4,25,NA,2,NA,0,2,2,1,3,NA,4,3
0,32,1,NA,1,1,NA,0,1,3,2,1,NA,3,2
0,37,4,23,1,1,NA,1,1,3,2,3,NA,4,2
0,44,3,3,NA,1,NA,NA,2,1,1,2,NA,2,1
1,52,1,14,1,1,NA,1,1,3,2,3,NA,4,1
0,41,1,3,1,1,NA,0,2,3,1,NA,NA,1,2
1,25,1,6,1,1,NA,0,1,3,2,2,NA,2,3
1,76,1,3,3,2,NA,NA,1,1,3,3,NA,4,2
1,34,1,3,1,2,NA,NA,1,3,2,3,NA,2,NA
0,49,1,4,5,1,NA,0,1,3,2,1,NA,1,NA
1,NA,NA,NA,NA,NA,NA,0,1,3,2,1,NA,3,2
0,42,1,4,5,1,NA,1,2,3,1,1,NA,1,3
1,38,1,4,2,1,NA,0,1,3,2,1,NA,1,3
1,53,1,NA,1,2,NA,1,1,3,2,2,NA,4,3
0,36,4,4,1,1,NA,NA,1,3,2,NA,NA,1,1
0,59,3,3,3,2,NA,1,1,3,2,1,NA,2,NA
0,39,3,4,4,2,NA,1,2,3,1,3,NA,3,2
